Name, Price, Link, Img
Samsung Galaxy A51 (A515) 6GB/128GB Dual Sim,6199,https://www.smart.md/smartphone_samsung-galaxy-a51-a515-6gb128gb-dual-sim-blue.html,https://www.smart.md/image/cache/data/produse/telefoane/samsung/A51/samsung_galaxy_a515_blue1-335x335.png
iPhone 12 Pro MAX 128GB,26999,https://www.smart.md/iphone-12-pro-max-128gb-pacific-blue,https://www.smart.md/image/cache/data/results-photos/smartgsm/iphone_12_pro_pacific_blue1_e-webp-335x335.jpg
Xiaomi Redmi Note 9 Pro Dual Sim 6GB RAM 64GB,4599,https://www.smart.md/smartphone_xiaomi-redmi-note-9-pro-dual-sim-6gb-ram-64gb-glacier-white.html,https://www.smart.md/image/cache/data/HP-2020/thumb_500x500_xiaomiredminote9pro664gb9359843869451_4-335x335.png
OPPO A12 3/32GB,2499,https://www.smart.md/oppo-a12-3gb32gb-black.html,https://www.smart.md/image/cache/data/produse/telefoane/oppo/A12/thumb_500x500_oppoa12332gbblack622720x152093598438858571-335x335.jpg
Samsung Galaxy A71 A715 Dual Sim 6GB RAM 128GB,7399,https://www.smart.md/smartphone_samsung-galaxy-a71-a715-dual-sim-6gb-ram-128gb-black.html,https://www.smart.md/image/cache/data/produse/telefoane/samsung/A71/galaxy_a715_black_1-335x335.png
iPhone 12 Pro 256GB,27299,https://www.smart.md/iphone-12-pro-256gb-silver,https://www.smart.md/image/cache/data/results-photos/smartgsm/iphone_12_pro_silver1_e_o6i8-w0_4-335x335.png
SAMSUNG Galaxy S10 Plus Dual Sim 128GB 8GB RAM (G975FD,12999,https://www.smart.md/smartphone_samsung-galaxy-s10-plus-dual-sim-128gb-8gb-ram-g75fd-prism-white,https://www.smart.md/image/cache/data/produse/telefoane/samsung/s10_plus/galaxy_s10_plus_prism_white-335x335.jpg
Samsung Galaxy S20 Ultra (G988F) Dual Sim 128GB,21999,https://www.smart.md/smartphone_samsung-galaxy-s20-ultra-g988f-dual-sim-128gb-cosmic-gray.html,https://www.smart.md/image/cache/data/produse/telefoane/samsung/S20+ultra/Ize9LC-335x335.jpeg
Samsung Galaxy A31 (A315) Dual Sim 4/128Gb,4489,https://www.smart.md/smartphone_samsung-galaxy-a31-a315-dual-sim-4128gb-black.html,https://www.smart.md/image/cache/data/dulapuri-folder/samsung_galaxy_a315_black1-335x335.png
Huawei P40 5G Dual Sim 8GB RAM 128GB,11999,https://www.smart.md/smartphone_huawei-p40-5g-dual-sim-8gb-ram-128gb-gold.html,https://www.smart.md/image/cache/data/produse/telefoane/Huawei/P40/0.23686200_1585286037_huawei-p40-5g-dual-sim-128gb-gold-8gb-ram-335x335.jpg
