Name, Price, Link, Img
Apple iPhone 12 Pro 128GB Dual SIM,28999,https://darwin.md/iphone-12-pro-apple-128-gb-gold-dual.html,https://darwin.md/images/product/thumbs/2020/11/iphone_12_pro_gold1-201116020753-darwin.png
Apple iPhone 12 Pro 256GB Dual SIM,30999,https://darwin.md/iphone-12-pro-apple-256-gb-graphite-dual.html,https://darwin.md/images/product/thumbs/2020/11/iphone_12_pro_graphite1-201116020953-darwin.png
Apple iPhone 12 64GB Dual SIM,20999,https://darwin.md/iphone-12-apple-64-gb-black-dual.html,https://darwin.md/images/product/thumbs/2020/11/iphone_12_black1-201116015353-darwin.png
Apple iPhone 12 128GB Dual SIM,22499,https://darwin.md/iphone-12-apple-128-gb-black-dual.html,https://darwin.md/images/product/thumbs/2020/11/iphone_12_black1-201116015607-darwin.png
Samsung Galaxy S20 FE 6/128GB (G780) Lavender,12999,https://darwin.md/g780-galaxy-s20-fe-samsung-violet-128-gb-dual.html,https://darwin.md/images/product/thumbs/2020/09/samsung_galaxy_s20_fe_cloud_lavander_1.png
Apple iPhone 12 Pro 256GB Dual SIM,30999,https://darwin.md/iphone-12-pro-apple-256-gb-silver-dual.html,https://darwin.md/images/product/thumbs/2020/11/iphone_12_pro_silver1-201116020944-darwin.png
Apple iPhone 12 64GB Dual SIM,20999,https://darwin.md/iphone-12-apple-64-gb-green-dual.html,https://darwin.md/images/product/thumbs/2020/11/iphone_12_green1-201116015416-darwin.png
Apple iPhone 12 Pro 128GB Dual SIM,28999,https://darwin.md/iphone-12-pro-apple-128-gb-silver-dual.html,https://darwin.md/images/product/thumbs/2020/11/iphone_12_pro_silver1-201116020801-darwin.png
Apple iPhone 12 128GB Dual SIM,22499,https://darwin.md/iphone-12-apple-128-gb-green-dual.html,https://darwin.md/images/product/thumbs/2020/11/iphone_12_green1-201116015614-darwin.png
Apple iPhone 12 64GB Dual SIM,20999,https://darwin.md/iphone-12-apple-64-gb-white-dual.html,https://darwin.md/images/product/thumbs/2020/11/iphone_12_white1-201116015342-darwin.png
Apple iPhone 12 mini 64GB,17999,https://darwin.md/iphone-12-mini-apple-64-gb-green.html,https://darwin.md/images/product/thumbs/2020/11/iphone_12_mini_green1.png
